,Name,info
0,Automotive,I am going for a drive or to buy a car
1,Books and Literature,I am reading and writing literature in the book in the library
2,Business and Finance,I am opening a business and will work out from an office
3,Education,"Going to school, college, university is important for your education"
4,Events and Attractions,"There is a huge carnival, festival coming up which is a big event and attraction"
5,Family and Relationships,The family will sit together on the dinner table for a family gathering
6,Fine Art,"Going to a museum, gallery to look at paintings, sculptures, dancing and ballet"
7,Food & Drink,The chef prepares the Food and drinks in the kitchen of the resteraunt
8,Healthy Living,"I am going on a diet, going to workout in the gym and live a healthy lifestyle"
9,Hobbies & Interests,I do that activity as a hobby and interest of mine
10,Home & Garden,"I am going to mow the lawn, get tools for our garage and buy appliances for the house"
11,Medical Health,"We need to visit the doctor, go to the hospital to get medicine and treat the sickness"
12,Movies,Lets go watch a movie at the theater cinema and eat popcorn
13,Music and Audio,She is singing and music is playing with instruments on a mic
14,Pets,"I love all kinds of pets like dogs, cats, birds and fish"
15,Pop Culture,"Lets get on Instagram, Twitter, Facebook, Snapcaht, TikTok and YouTube which are pop culture"
16,Real Estate,"This real estate property has a for sale sign, moving trucks, boxes and a construction site"
17,Religion & Spirituality,"It is a part of theur religion and spirituality including christmas, santa, bible, god and holy books"
18,Science,"Science such as physics, chemistry, biology which we study and research in a laboratory with test tubes"
19,Shopping,"Lets go shopping to the mall, I want to buy gifts and a dress with my credit card"
20,Sports,I like playing sports
21,Style & Fashion,"It's a part of style and fashion, the models, runways and fashion weeks"
22,Technology & Computing,"Technology and computing includes computers, gadgets, laptops, tablets and iphones"
23,Television,Pass the remote to watch TV on our Television set
24,Travel,"I want to travel on an airplane or train, go to the beach, hotels, a cruise with my suitcase"
25,Video Gaming,I am playing video games on my playstation xbox console with my controller
26,Careers,It's a matter of my personal growth and career to have ambition and get ahead in my career
27,News and Politics,"Politicians, Senators and their bills are a part of the constitution and on the daily news"
28,Personal Finance,"Personal finance includes credit card debt, mortgages, loans and other forms of financial planninng"
